"#","Reference","Qty","Value","Footprint","DNP"
"1","BAT1","1","Conn_01x02_Pin","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"2","C1, C2, C5, C11","4","100nF","Capacitor_SMD:C_0402_1005Metric",""
"3","C3","1","220nF","Capacitor_SMD:C_0402_1005Metric",""
"4","C4, C6, C7, C10","4","10uF","Capacitor_SMD:C_0402_1005Metric",""
"5","C8, C9","2","1uF","Capacitor_SMD:C_0402_1005Metric",""
"6","EXT1","1","Conn_01x05_Pin","Connector_JST:JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal",""
"7","IC1","1","BQ24072RGTRG4","QFN50P300X300X100-17N-D",""
"8","IMU1","1","LSM6DSV16XTR","footprints:LGA14L_LSM6_STM",""
"9","LDO1","1","XC6206P302MR","SOT95P280X130-3N",""
"10","LED1","1","LTST-S326KGJRKT","LTST-S326KGJRKT",""
"11","LED2","1","LTST-S270TBKT","LTSTS270TBKT",""
"12","MAG1","1","LIS2MDLTR","SamacSys_Parts:LGA-12",""
"13","nRF1","1","ISP1507-AX-RS","ISP1507AXRS",""
"14","PROG1","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"15","R1, R2","2","2.7k","Resistor_SMD:R_0402_1005Metric",""
"16","R3, R16","2","10k","Resistor_SMD:R_0402_1005Metric",""
"17","R4, R5","2","5.1k","Resistor_SMD:R_0402_1005Metric",""
"18","R6","1","1.78k","Resistor_SMD:R_0402_1005Metric",""
"19","R7","1","1,3k","Resistor_SMD:R_0402_1005Metric",""
"20","R8","1","100k","Resistor_SMD:R_0402_1005Metric",""
"21","R9","1","51k","Resistor_SMD:R_0402_1005Metric",""
"22","R10","1","1k","Resistor_SMD:R_0402_1005Metric",""
"23","R11","1","2,7k","Resistor_SMD:R_0402_1005Metric",""
"24","R17","1","1.5k","Resistor_SMD:R_0402_1005Metric",""
"25","RST1","1","SKSCLBE010","SKSCLBE010",""
"26","S1","1","SK-3293S","SK3293S",""
"27","USB1","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
