Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
"C1, C11, C2, C5",0402,4,100nF,
"C10, C4, C6, C7",0402,4,10uF,
C3,0402,1,220nF,
"C8, C9",0402,2,1uF,
EXT1,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,Conn_01x05_Pin,
IC1,QFN50P300X300X100-17N-D,1,BQ24072RGTRG4,
IMU1,LGA14L_LSM6_STM,1,LSM6DSV16XTR,
LDO1,SOT95P280X130-3N,1,XC6206P302MR,
LED1,LTST-S326KGJRKT,1,LTST-S326KGJRKT,
LED2,LTSTS270TBKT,1,LTST-S270TBKT,
MAG1,LGA-12,1,LIS2MDLTR,
PROG1,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
"R1, R2",0402,2,2.7k,
R10,0402,1,1k,
R11,0402,1,"2,7k",
"R16, R3",0402,2,10k,
R17,0402,1,1.5k,
"R4, R5",0402,2,5.1k,
R6,0402,1,1.78k,
R7,0402,1,"1,3k",
R8,0402,1,100k,
R9,0402,1,51k,
RST1,SKSCLBE010,1,SKSCLBE010,
S1,SK3293S,1,SK-3293S,
USB1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
nRF1,ISP1507AXRS,1,ISP1507-AX-RS,
