Designator,Mid X,Mid Y,Rotation,Layer
BAT1,116.43,-57.77,90.0,bottom
C1,105.805,-74.3,0.0,top
C10,108.0,-55.32,90.0,top
C11,108.435,-65.595,0.0,top
C2,108.685,-73.645,270.0,top
C3,106.275,-69.015,0.0,top
C4,108.435,-66.595,0.0,top
C5,108.435,-67.595,0.0,top
C6,109.31,-58.79,0.0,top
C7,113.46,-55.82,90.0,top
C8,105.15,-62.04,180.0,top
C9,103.8,-67.08,270.0,top
EXT1,101.47,-72.51,90.0,bottom
IC1,110.54,-56.05,180.0,top
IMU1,106.082,-72.2256,0.0,top
LDO1,105.22,-64.32,0.0,top
LED1,116.07,-53.655,90.0,top
LED2,100.47,-74.12,0.0,top
MAG1,106.06,-67.16,0.0,top
PROG1,107.51,-61.76,270.0,bottom
R1,104.525,-70.055,180.0,top
R10,103.35,-74.27,180.0,top
R11,114.445,-59.285,0.0,top
R16,113.05,-57.82,180.0,top
R17,107.79,-59.3,270.0,top
R2,107.325,-70.055,0.0,top
R3,98.97,-69.92,0.0,top
R4,103.32,-53.285,90.0,top
R5,104.53,-53.285,90.0,top
R6,111.61,-59.02,180.0,top
R7,116.96,-59.31,180.0,top
R8,110.02,-64.655,90.0,top
R9,111.125,-64.655,270.0,top
RST1,96.47,-72.32,270.0,top
S1,96.12,-65.832,270.0,top
USB1,97.175,-56.995,270.0,top
nRF1,113.85,-70.33,90.0,top
